,video_id,Positive Percentage,Channel
0,XpVt6Z1Gjjo,36.12,['Logan Paul Vlogs']
1,cLdxuaxaQwc,38.05,['PewDiePie']
2,WYYvHb03Eog,35.12,['The Verge']
3,sjlHnJvXdQs,41.5,['jacksfilms']
4,cMKX2tE5Luk,43.0,['A24']
5,8wNr-NQImFg,40.0,['Late Night with Seth Meyers']
6,_HTXMhKWqnA,39.0,['Marques Brownlee']
7,_ANP3HR1jsM,47.28,['RomanAtwoodVlogs']
8,zgLtEob6X-Q,42.29,['Screen Junkies']
9,Ayb_2qbZHm4,46.33,['CollegeHumor']
10,CsdzflTXBVQ,42.29,['Awkward Puppets']
11,l864IBj7cgw,37.0,['The Tonight Show Starring Jimmy Fallon']
12,4MkC65emkG4,40.86,['MTV']
13,vu_9muoxT50,42.0,"[""America's Got Talent""]"
14,1L7JFN7tQLs,47.14,['Jonathan Morrison']
15,ZQK1F0wz6z4,42.06,['Wong Fu Productions']
16,T_PuZBdT2iM,28.8,['ProZD']
17,w8fAellnPns,35.0,['You Suck At Cooking']
18,UCrBICYM0yM,35.2,['Paramount Pictures']
19,-Ifnaxi2LQg,41.57,[]
20,B7YaMkCl3XA,33.44,['Al Jazeera English']
21,5ywKal6-anc,32.0,['TMZ']
22,4Yue-q9Jdbk,52.4,['SUPERFRUIT']
23,JhA1Wi9mrns,49.33,['Kid Rock']
24,EVp4-qjWVJE,39.0,['NFL']
25,LcZ2AuvxXNA,42.4,['Dude Perfect']
26,MdzGZv3zQ-U,45.0,['First We Feast']
27,1ZNZY-gd3K0,35.0,['LastWeekTonight']
28,2wxyDrfwlXQ,56.33,['grav3yardgirl']
29,QBGaO89cBMI,39.0,['Radiohead']
30,ql0Op1VcELw,41.8,['Wendover Productions']
31,JO7X9ZPoAp8,55.31,['WatchCut Video']
32,GGm0FQ6i74U,48.0,['Vox']
33,a7Sf_H2cFdM,44.48,['Rooster Teeth']
34,oDIDZ9EmQfA,38.33,['Rclbeauty101']
35,zAtHxJvSczA,51.03,['Watch What Happens Live with Andy Cohen']
36,l_uNfGY3v8E,28.25,['USA TODAY']
37,Rew50oYjRqA,63.0,['Casey Holmes']
38,WWexI9YiLSc,33.67,['Movieclips Trailers']
39,LDcm6twPEJA,37.0,['The School of Life']
40,O78Lpo4ctSE,50.75,['LANYVEVO']
41,qJJHhVf3_ZM,32.0,['The Late Late Show with James Corden']
42,3yoGE3v4A8w,64.5,['thataylaa']
43,zTjcPeb2Gwg,52.33,['Wil Dasovich']
44,hQbeB0YXLhs,78.0,['Nyma Tang']
45,L3f7_y9UPh4,64.0,['Jimmy Kimmel Live']
46,6vGg-jJl30A,78.0,['Nile Wilson']
47,9CILSvf1snQ,55.43,['The Scran Line']
48,WoPtuVbaSKQ,58.5,['Rosanna Pansino']
49,62cWuFjzOgs,42.86,['Engadget']
50,NzRuDD0iYC0,29.0,['DeathByPixel']
51,eM_FR7I2Ttw,54.5,['BBCRadio1VEVO']
52,eoArC99zm1M,30.0,['Good Mythical Morning']
53,IMG0u0_cKNc,31.5,['Tech Insider']
54,bAon04ZJhHE,37.0,['South Park Studios']
55,LTnl36-0-zU,41.0,['Cracked']
56,EmjMWi0MBXQ,43.16,['NN']
57,c7ymY8QEB2g,57.5,['kirstinVEVO']
58,Ez95rPffd8k,28.5,['E! News']
59,08RHSZvixec,40.5,['Grace Helbig']
60,zAXn-v9RdXo,77.78,['The New York Times']
61,_SRNenu07Lw,26.67,['Steve Fulop']
62,iXexmZm3_j8,41.0,['BuzzFeedVideo']
63,GpAuCG6iUcA,24.0,['Fifty Shades']
64,eRDxDEhEgNY,47.0,['Enter Name Here']
65,AZTGeQ5msaU,54.63,['SlashGear']
66,yiblDn4JGfQ,75.5,['Peter McKinnon']
67,xKXxJcf6_IE,52.5,['Los Angeles Times']
68,YQYslaA1Lus,47.5,['Genius']
69,k9bYO7uSnrg,25.0,['TechCrunch']
70,1nEp6DcHwhs,55.0,['Buttered Side Down']
71,brfJuyTADuQ,41.5,['Miranda Sings']
72,bp6uJJJMaLs,54.0,['Jenny Nicholson']
73,ah8SQNOXgrQ,47.0,['Gus Johnson']
74,rHfyvSgvgoo,43.94,['GameofThrones']
75,-JmNKGfFj7w,41.5,[]
