,video_id,Positive Percentage,Channel
132,f5F2whaRzqw,100.0,['Kerry Wong']
395,cviyIIvBlto,100.0,['Kerry Wong']
466,S-a8NVEUO4E,100.0,['E! Live from the Red Carpet']
601,wBjAmThxDpA,100.0,['Vertical Entertainment LA']
612,_zl2GV89_GM,100.0,['Cosmic Book News']
819,D6zUj1tKxiU,100.0,['Xposure 365 TV']
821,lJj66BCiZWQ,100.0,['Eric Blattberg']
972,BNRUV3TuExQ,100.0,['Fathom Events']
1317,zuKX0fPlo2Q,100.0,['Thomas Bikias']
1454,Ekc7lWx0468,100.0,['The Illusion contest']
1587,dsH83p_mfEs,100.0,['The Royal Butler']
1775,UJKl7ToDi20,100.0,['UCF Knights']
1848,KQ19fT4BQQU,100.0,['Arcus-3D']
1911,mi52IqpOp54,100.0,['Kevin Noon']
1912,94U8bow4CU4,100.0,['Shawn Setaro']
1956,W2gnef0LtBE,100.0,['Asmodee Digital']
