,video_id,Positive Percentage,Channel
151,7Ag2oDIeLvo,0.0,['OsbornTramain']
347,EwujR1ARsog,0.0,['Ford Motor Company']
386,Y7tLoqNjkks,0.0,['RAW']
420,p7sooI96zPI,0.0,['Geezus66']
424,jLa9wZHiqxg,0.0,['Rad Universe']
468,Oz88_p125uM,0.0,['ViralVideoUK']
592,BfxOimRxXvU,0.0,['Andro Hack']
604,k8LF_FU2luY,0.0,['Bollinger Motors']
611,tbDr_zAcM5g,0.0,['Maharishi University of Management']
629,HpxsQ1_UAec,0.0,['Manto kay SO Afsanay']
811,EZaPeQ2dxh8,0.0,['Malhar Takle']
820,mShBE_wHAk8,0.0,['Adam Sifounakis']
824,HFXwHcFyU_M,0.0,['NBC Sports']
1069,j8i18Wiaq7Q,0.0,['Al Jazeera Arabic قناة الجزيرة']
1253,jzr49a04olU,0.0,['Luke Skaff']
1254,QWtGGoHT4H8,0.0,['CNBC']
1464,-3AGlBYyLjo,0.0,['CrazyLaughAction']
1467,2bOeaS1wREE,0.0,['Washington Post']
1539,HjfN2Phsfng,0.0,['weatherguru76']
1586,c5RsAXsZvI8,0.0,['Clicker Learning Institute for Cats and Kittens']
2063,k5qKGNeRb68,0.0,['Triz Cru TV']
2235,CEdAjI801Wo,0.0,['BUILD Series']
2237,eLhPdGZaotQ,0.0,['WSUCougarAthletics']
